X,Y,OBJECTID,Naziv_stajališta,Linije,Opis,Napomena
15.9309679990001,45.8285539990001,667,Josipa Šabana - zapad     ,127,smjer Črnomerec,
16.0729650010001,45.836582999,668,Josipa Stadlera - jug     ,223,smjer Dubec,
16.0729860010001,45.8367459990001,669,Josipa Stadlera - sjever   ,223,smjer terminal Dubrava ,
15.9756310010001,45.8302249990001,670,Jurjevska 64 - istok        ,105,smjer Britanski trg,Zbog radova linija 105 Kaptol - Britanski trg prometuje s Kaptola redovitom trasom do križanja Jurjevska/Gornje Prekrižje – (desno) Gornje Prekrižje – kružni tok – (desno) Ulica Pantovčak – dalje ulicom Pantovčak do Britanskog trga. U povratku s Britanskog trga autobusna linija prometovat će istom trasom uz obrnuti redoslijed ulica
15.9753490000001,45.8306289990001,671,Jurjevska 64 - zapad,105,smjer Kaptol,
15.975332001,45.8330609990001,672,Jurjevska 77 - istok       ,105,smjer Britanski trg,Zbog radova linija 105 Kaptol - Britanski trg prometuje s Kaptola redovitom trasom do križanja Jurjevska/Gornje Prekrižje – (desno) Gornje Prekrižje – kružni tok – (desno) Ulica Pantovčak – dalje ulicom Pantovčak do Britanskog trga. U povratku s Britanskog trga autobusna linija prometovat će istom trasom uz obrnuti redoslijed ulica
15.9752070000001,45.8331879990001,673,Jurjevska 77 - zapad        ,105,smjer Kaptol,
15.8709190010001,45.656509999,674,K.Brijegi - Vodosprema - zapad,161,smjer Štrpet,
15.876197,45.6795959990001,675,K.Brijegi - IIIodvojak - istok,161,smjer Savski most,
15.875662,45.6790999990001,676,K.Brijegi - IIIodvojak - zapad,161,smjer Štrpet,
15.8742340000001,45.675824999,677,K.Brijegi - VI odvojak - istok,161,smjer Savski most,
15.8740700000001,45.675064999,678,K.Brijegi - VI odvojak - zapad,161,smjer Štrpet,
15.871115,45.656460999,679,K.Brijegi - Vodosprema - istok,161,smjer Savski most,
16.0104469990001,45.764441999,680,Kamenarka 18 - jug,295, smjer Zapruđe,
